"term","med","med_sd","min","max","justice","just_pr","CEHughes2","JCMcReynolds","LDBrandeis","GSutherland","PButler","HFStone","OJRoberts","BNCardozo","HLBlack","SFReed","FFrankfurter","WODouglas","FMurphy","JFByrnes","RHJackson","WBRutledge","HHBurton","FMVinson","TCClark","SMinton","EWarren","JHarlan2","WJBrennan","CEWhittaker","PStewart","BRWhite","AJGoldberg","AFortas","TMarshall","WEBurger","HABlackmun","LFPowell","WHRehnquist","JPStevens","SDOConnor","AScalia","AMKennedy","DHSouter","CThomas","RBGinsburg","SGBreyer","JGRoberts","SAAlito","SSotomayor","EKagan","NMGorsuch"
"1937a",-0.332,0.332,-2.915,3.435,"CEHughes2",0.655,0.6547,0,0.1844,0,0,0.0572,0.0917,0.012,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1937b",-0.567,0.332,-2.915,3.433,"LDBrandeis",0.446,0.2066,0,0.446,,0,0.2319,0.0124,0.0316,0,0.0715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1938a",-0.532,0.36,-3.21,3.57,"LDBrandeis",0.498,0.0999,0,0.4983,,0,0.373,0.0004,,0,0.0196,0.0088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1938b",-0.696,0.342,-3.297,3.57,"HFStone",0.89,0.0172,0,,,0,0.8903,0,,0,0.0661,0.0264,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1939",-1.016,0.351,-3.411,3.536,"SFReed",0.659,0,0,,,,0.0597,0,,0,0.6586,0.2269,0,0.0548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1940",-0.635,0.344,-3.459,3.358,"FFrankfurter",0.487,0,0,,,,0.0288,0,,0,0.4838,0.4868,0,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1941",-0.151,0.334,-3.383,1.871,"JFByrnes",0.46,,,,,,0.0021,0,,0,0.3369,0.1393,0,0,0.4599,0.0618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1942",0.076,0.338,-3.147,2.133,"SFReed",0.659,,,,,,0.0491,0,,0,0.6589,0.0623,0,0,,0.2297,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1943",0.037,0.331,-2.815,2.45,"RHJackson",0.438,,,,,,0.1643,0,,0,0.3958,0.0019,0,0,,0.438,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1944",-0.094,0.332,-2.612,2.789,"SFReed",0.907,,,,,,0.0002,0,,0,0.9068,0.0011,0,0,,0.0919,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1945",0.058,0.316,-2.223,0.897,"SFReed",0.893,,,,,,0.0083,,,0,0.8926,0.0114,0,0,,0.0377,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1946",0.243,0.262,-2.051,1.16,"SFReed",0.649,,,,,,,,,0,0.6487,0.0003,0,0,,0.0004,0,0.0832,0.2674,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947",0.448,0.229,-1.982,1.237,"SFReed",0.484,,,,,,,,,0,0.4843,0.0135,0,0,,0.0006,0,0.0327,0.4689,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1948",0.556,0.251,-1.991,1.302,"FFrankfurter",0.577,,,,,,,,,0,0.3249,0.577,0,0,,0.0013,0,0.0315,0.0653,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1949",0.91,0.283,-1.741,1.473,"HHBurton",0.282,,,,,,,,,0,0.1532,0.0142,0,,,0.1648,,0.2816,0.1388,0.1769,0.0705,,,,,,,,,,,,,,,,,,,,,,,,,,
"1950",0.941,0.277,-1.645,1.565,"HHBurton",0.359,,,,,,,,,0,0.1171,0.0009,0,,,0.1948,,0.359,0.0787,0.209,0.0405,,,,,,,,,,,,,,,,,,,,,,,,,,
"1951",0.937,0.321,-1.698,1.683,"HHBurton",0.539,,,,,,,,,0,0.0899,0.0002,0,,,0.1844,,0.5392,0.0135,0.1466,0.0262,,,,,,,,,,,,,,,,,,,,,,,,,,
"1952",1.076,0.385,-2.257,1.641,"TCClark",0.305,,,,,,,,,0,0.1023,0,0,,,0.1676,,0.1765,0.0696,0.3052,0.1788,,,,,,,,,,,,,,,,,,,,,,,,,,
"1953",0.585,0.423,-2.95,1.597,"TCClark",0.518,,,,,,,,,0,0.0002,0.178,0,,,0.1738,,0.0018,,0.5179,0.1199,0.0084,,,,,,,,,,,,,,,,,,,,,,,,,
"1954",0.359,0.447,-3.619,1.579,"FFrankfurter",0.668,,,,,,,,,0,0,0.6681,0,,,,,0.0003,,0.2548,0.0252,0.0003,0.0513,,,,,,,,,,,,,,,,,,,,,,,,
"1955",0.589,0.482,-4.161,1.396,"FFrankfurter",0.734,,,,,,,,,0,0.0388,0.7335,0,,,,,0.0026,,0.0122,0.188,0,0.0249,,,,,,,,,,,,,,,,,,,,,,,,
"1956a",0.213,0.51,-4.636,1.396,"TCClark",0.974,,,,,,,,,0,0.0184,0.0073,0,,,,,0,,0.9743,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
"1956b",0.215,0.51,-4.636,1.411,"TCClark",0.99,,,,,,,,,0,,0.0074,0,,,,,0,,0.9903,,0,0,0,0.0023,,,,,,,,,,,,,,,,,,,,,,
"1957",0.646,0.55,-5.024,1.448,"TCClark",0.918,,,,,,,,,0,,0.0424,0,,,,,0.0167,,0.9178,,0,0.0006,0,0.0225,,,,,,,,,,,,,,,,,,,,,,
"1958",0.693,0.584,-5.367,1.674,"TCClark",0.494,,,,,,,,,0,,0.0086,0,,,,,0.1135,,0.4943,,0,0.0018,0,0.0119,0.3699,,,,,,,,,,,,,,,,,,,,,
"1959",0.373,0.625,-5.637,1.839,"TCClark",0.867,,,,,,,,,0,,0,0,,,,,,,0.8673,,0,0,0,0,0.1327,,,,,,,,,,,,,,,,,,,,,
"1960",0.471,0.665,-5.882,1.991,"PStewart",0.914,,,,,,,,,0,,0,0,,,,,,,0.0857,,0,0,0,0.0003,0.914,,,,,,,,,,,,,,,,,,,,,
"1961",0.006,0.702,-6.124,2.302,"BRWhite",0.471,,,,,,,,,0,,0,0,,,,,,,0.1215,,0,0,0.0252,0.0017,0.3802,0.4714,,,,,,,,,,,,,,,,,,,,
"1962",-1.024,0.739,-6.328,2.525,"AJGoldberg",0.63,,,,,,,,,0.0059,,,0,,,,,,,0,,0.0296,0,0.3341,,0,0.0003,0.6301,,,,,,,,,,,,,,,,,,,
"1963",-1.041,0.779,-6.529,2.584,"WJBrennan",0.558,,,,,,,,,0.0832,,,0,,,,,,,0,,0.034,0,0.5583,,0,0,0.3245,,,,,,,,,,,,,,,,,,,
"1964",-0.701,0.804,-6.751,2.401,"AJGoldberg",0.394,,,,,,,,,0.3848,,,0,,,,,,,0.0083,,0.0123,0,0.189,,0,0.0114,0.3942,,,,,,,,,,,,,,,,,,,
"1965",-0.54,0.824,-6.961,2.328,"HLBlack",0.905,,,,,,,,,0.9047,,,0,,,,,,,0.014,,0.0019,0,0.0214,,0,0.0565,,0.0015,,,,,,,,,,,,,,,,,,
"1966",-0.421,0.847,-7.124,2.048,"HLBlack",0.979,,,,,,,,,0.9793,,,0,,,,,,,0.0016,,0.0001,0,0.0003,,0,0.0187,,0,,,,,,,,,,,,,,,,,,
"1967",-1.111,0.871,-7.269,1.475,"TMarshall",0.407,,,,,,,,,0,,,0,,,,,,,,,0.2441,0,0.2571,,0,0,,0.0917,0.4071,,,,,,,,,,,,,,,,,
"1968",-0.982,0.893,-7.38,0.78,"WJBrennan",0.395,,,,,,,,,0,,,0,,,,,,,,,0.1113,0,0.395,,0,0,,0.2069,0.2868,,,,,,,,,,,,,,,,,
"1969",0.179,0.922,-7.455,2.093,"BRWhite",0.476,,,,,,,,,0.4351,,,0,,,,,,,,,,0.0124,0,,0.0762,0.4762,,,0,0,0.0001,,,,,,,,,,,,,,,
"1970",0.399,0.949,-7.53,2.237,"BRWhite",0.496,,,,,,,,,0.0299,,,0,,,,,,,,,,0.12,0,,0.3546,0.4955,,,0,0,0,,,,,,,,,,,,,,,
"1971",0.664,0.975,-7.602,3.639,"BRWhite",0.995,,,,,,,,,,,,0,,,,,,,,,,,0,,0.0025,0.9953,,,0,0,0.0001,0.0021,0,,,,,,,,,,,,,
"1972",0.963,1,-7.641,4.046,"BRWhite",0.808,,,,,,,,,,,,0,,,,,,,,,,,0,,0,0.8078,,,0,0,0.0113,0.1809,0,,,,,,,,,,,,,
"1973",0.615,1.027,-7.687,4.308,"BRWhite",0.652,,,,,,,,,,,,0,,,,,,,,,,,0,,0.3425,0.6523,,,0,0,0.0005,0.0047,0,,,,,,,,,,,,,
"1974",0.622,1.059,-7.746,4.395,"BRWhite",0.803,,,,,,,,,,,,0,,,,,,,,,,,0,,0.1432,0.8028,,,0,0,0.0322,0.0218,0,,,,,,,,,,,,,
"1975",0.499,1.1,-7.748,4.511,"PStewart",0.454,,,,,,,,,,,,0,,,,,,,,,,,0,,0.4543,0.4451,,,0,0,0.0492,0.0152,0,0.0362,,,,,,,,,,,,
"1976",0.482,0.3,-2.818,4.484,"PStewart",0.468,,,,,,,,,,,,,,,,,,,,,,,0,,0.468,0.2171,,,0,0,0.2169,0.0979,0,0.0001,,,,,,,,,,,,
"1977",0.221,0.308,-2.972,4.468,"HABlackmun",0.401,,,,,,,,,,,,,,,,,,,,,,,0,,0.3324,0.1038,,,0,0,0.4012,0.0976,0,0.065,,,,,,,,,,,,
"1978",0.147,0.328,-3.143,4.486,"HABlackmun",0.788,,,,,,,,,,,,,,,,,,,,,,,0,,0.0411,0.1637,,,0,0,0.7882,0.0004,0,0.0066,,,,,,,,,,,,
"1979",0.214,0.369,-3.366,4.503,"BRWhite",0.775,,,,,,,,,,,,,,,,,,,,,,,0,,0.1146,0.775,,,0,0,0.1078,0.0008,0,0.0018,,,,,,,,,,,,
"1980",0.177,0.405,-3.501,4.336,"BRWhite",0.875,,,,,,,,,,,,,,,,,,,,,,,0,,0.015,0.8752,,,0,0,0.0986,0.001,0,0.0102,,,,,,,,,,,,
"1981",0.184,0.424,-3.624,4.171,"BRWhite",0.986,,,,,,,,,,,,,,,,,,,,,,,0,,,0.9863,,,0,0,0.0092,0.0003,0,0.0042,0,,,,,,,,,,,
"1982",0.595,0.433,-3.777,4.082,"BRWhite",0.994,,,,,,,,,,,,,,,,,,,,,,,0,,,0.994,,,0,0.0002,0,0.0058,0,0,0,,,,,,,,,,,
"1983",0.796,0.447,-3.844,3.976,"BRWhite",0.834,,,,,,,,,,,,,,,,,,,,,,,0,,,0.8339,,,0,0.0002,0,0.1655,0,0,0.0004,,,,,,,,,,,
"1984",0.742,0.464,-3.916,3.746,"LFPowell",0.802,,,,,,,,,,,,,,,,,,,,,,,0,,,0.1967,,,0,0,0,0.8021,0,0,0.0012,,,,,,,,,,,
"1985",0.832,0.477,-4.002,3.526,"LFPowell",0.901,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0655,,,0,0,0,0.9006,0,0,0.0339,,,,,,,,,,,
"1986",0.8,0.479,-4.211,3.268,"LFPowell",0.94,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0459,,,0,,0,0.9404,0,0,0.0062,0.0075,,,,,,,,,,
"1987",0.927,0.499,-4.373,2.83,"BRWhite",0.737,,,,,,,,,,,,,,,,,,,,,,,0,,,0.7371,,,0,,0,,0,0,0.0077,0.0049,0.2503,,,,,,,,,
"1988",1.044,0.527,-4.47,2.715,"BRWhite",0.89,,,,,,,,,,,,,,,,,,,,,,,0,,,0.8897,,,0,,0,,0,0,0.042,0.0032,0.0651,,,,,,,,,
"1989",0.819,0.569,-4.463,2.593,"BRWhite",0.977,,,,,,,,,,,,,,,,,,,,,,,0,,,0.9766,,,0,,0,,0,0,0.0036,0,0.0198,,,,,,,,,
"1990",0.93,0.689,-4.267,2.458,"DHSouter",0.533,,,,,,,,,,,,,,,,,,,,,,,,,,0.0722,,,0,,0,,0,0,0.2612,0,0.1333,0.5333,,,,,,,,
"1991",0.769,0.304,-2.221,2.882,"SDOConnor",0.299,,,,,,,,,,,,,,,,,,,,,,,,,,0.2128,,,,,0,,0,0,0.2994,0,0.2309,0.2569,0,,,,,,,
"1992",0.838,0.341,-2.41,3.107,"SDOConnor",0.592,,,,,,,,,,,,,,,,,,,,,,,,,,0.1606,,,,,0,,0,0,0.5917,0,0.2424,0.0053,0,,,,,,,
"1993",0.824,0.366,-2.622,3.439,"AMKennedy",0.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0002,0,0.321,0,0.6788,0,0,0,,,,,,
"1994",0.728,0.386,-3.014,3.648,"SDOConnor",0.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.5181,0,0.4819,0,0,0,0,,,,,
"1995",0.659,0.403,-3.264,3.751,"AMKennedy",0.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.3216,0,0.6784,0,0,0,0,,,,,
"1996",0.794,0.414,-3.374,3.841,"AMKennedy",0.683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006,0,0.3161,0,0.6833,0,0,0,0,,,,,
"1997",0.781,0.435,-3.336,3.858,"AMKennedy",0.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013,0,0.1775,0,0.8212,0,0,0,0,,,,,
"1998",0.826,0.431,-3.333,3.877,"AMKennedy",0.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,0,0.4356,0,0.5643,0,0,0,0,,,,,
"1999",0.828,0.432,-3.288,3.859,"SDOConnor",0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011,0,0.7603,0,0.2386,0,0,0,0,,,,,
"2000",0.575,0.446,-3.119,3.88,"SDOConnor",0.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,0,0.9173,0,0.0826,0,0,0,0,,,,,
"2001",0.359,0.453,-3.011,3.81,"SDOConnor",0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,0,0.9943,0,0.0056,0,0,0,0,,,,,
"2002",0.246,0.454,-2.901,3.881,"SDOConnor",0.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002,0,0.9863,0,0.0135,0,0,0,0,,,,,
"2003",0.194,0.446,-2.881,3.891,"SDOConnor",0.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.9809,0,0.0191,0,0,0,0,,,,,
"2004",0.113,0.438,-2.87,3.925,"SDOConnor",0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.9269,0,0.073,0,0,0,0.0001,,,,,
"2005a",0.048,0.435,-2.811,3.958,"SDOConnor",0.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.8552,0,0.1441,0,0,0,0.0006,0.0001,,,,
"2005b",0.492,0.435,-2.811,3.958,"AMKennedy",0.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.9857,0,0,0,0,0.0063,0.008,,,
"2006",0.446,0.438,-2.784,3.915,"AMKennedy",0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.9987,0,0,0,0,0.0007,0.0006,,,
"2007",0.402,0.457,-2.672,3.779,"AMKennedy",0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.9993,0,0,0,0,0.0006,0.0001,,,
"2008",0.554,0.469,-2.837,3.536,"AMKennedy",0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.9994,0,0,0,0,0.0005,0.0001,,,
"2009",0.52,0.523,-2.847,3.399,"AMKennedy",0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.9976,,0,0,0,0.0023,0.0001,0,,
"2010",0.581,0.305,-2.129,3.228,"AMKennedy",0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.994,,0,0,0,0.006,0,0,0,
"2011",0.3,0.329,-2.385,3.191,"AMKennedy",0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9993,,0,0,0,0.0007,0,0,0,
"2012",0.25,0.337,-2.57,3.147,"AMKennedy",0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9983,,0,0,0,0.0017,0,0,0,
"2013",0.077,0.368,-2.707,3.171,"AMKennedy",0.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9893,,0,0,0,0.0107,0,0,0,
"2014",-0.215,0.393,-2.897,3.172,"AMKennedy",0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9984,,0,0,0,0.0016,0,0,0,
"2015",-0.261,0.427,-3.057,3.193,"AMKennedy",0.978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9777,,0,0,0.0003,0.0217,0,0,0.0003,
"2016",-0.039,0.462,-3.19,3.203,"AMKennedy",0.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9142,,0,0,0,0.0849,0,0,0,0.0009
"2017",0.31,0.506,-3.32,3.137,"AMKennedy",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5001,,0,0,0,0.4958,0,0,0,0.0041
